lesson,farsi,translit,english,pos,present_stem,past_stem,colloquial
6,هجده,hejdah,eighteen,number,,,هیجده
6,نوزده,nuzdah,nineteen,number,,,
6,بیست,bist,twenty,number,,,
6,تا,tâ,(counter),particle,,,
6,نفر,nafar,(counter for people),noun,,,
6,سال,sâl,year,noun,,,
6,تومان,tomân,toman (currency),noun,,,تومن
7,خریدن,kharidan,to buy,verb,خر,خرید,
7,فروختن,forukhtan,to sell,verb,فروش,فروخت,
7,دادن,dâdan,to give,verb,ده,داد,
7,گرفتن,gereftan,to take / get,verb,گیر,گرفت,
7,آوردن,âvardan,to bring,verb,آور,آورد,میارم
7,بردن,bordan,to take away / carry,verb,بر,برد,
7,بستن,bastan,to close,verb,بند,بست,
7,شناختن,shenâkhtan,to know (a person),verb,شناس,شناخت,
7,باز کردن,bâz kardan,to open,verb,کن,کرد,
7,دوست داشتن,dust dâshtan,to like / to love,verb,دار,داشت,دوستت دارم
7,را,râ,(object marker),particle,,,رو
8,رویِ,ru-ye,on,prep,,,رو
8,زیرِ,zir-e,under,prep,,,
8,کنارِ,kenâr-e,next to,prep,,,
8,پشتِ,posht-e,behind,prep,,,
8,جلویِ,jelo-ye,in front of,prep,,,
8,بینِ,beyn-e,between,prep,,,
8,داخلِ,dâkhel-e,inside,prep,,,
8,نزدیکِ,nazdik-e,near,prep,,,
8,در,dar,in,prep,,,تو
8,با,bâ,with,prep,,,
8,بی,bi,without,prep,,,
8,برای,barâye,for,prep,,,برا
8,اینجا,injâ,here,adv,,,
8,آنجا,ânjâ,there,adv,,,اونجا
8,آدرس,âdres,address,noun,,,
8,هست,hast,there is,verb,,,
8,نیست,nist,there isn't / is not,verb,,,
9,سی,si,thirty,number,,,
9,چهل,chehel,forty,number,,,
9,پنجاه,panjâh,fifty,number,,,
9,شصت,shast,sixty,number,,,
9,هفتاد,haftâd,seventy,number,,,
9,هشتاد,hashtâd,eighty,number,,,
9,نود,navad,ninety,number,,,
9,صد,sad,hundred,number,,,
9,شنبه,shanbe,Saturday,noun,,,
9,یکشنبه,yekshanbe,Sunday,noun,,,
9,دوشنبه,doshanbe,Monday,noun,,,
9,سه‌شنبه,seshanbe,Tuesday,noun,,,
9,چهارشنبه,chahârshanbe,Wednesday,noun,,,
9,پنجشنبه,panjshanbe,Thursday,noun,,,
9,جمعه,jom'e,Friday,noun,,,
9,ساعت,sâ'at,hour / clock / watch,noun,,,
9,دقیقه,daqiqe,minute,noun,,,
9,نیم,nim,half,noun,,,
9,ربع,rob',quarter,noun,,,
9,صبح,sobh,morning,noun,,,
9,ظهر,zohr,noon,noun,,,
9,بعدازظهر,ba'd-az-zohr,afternoon,noun,,,
9,عصر,asr,late afternoon,noun,,,
9,شب,shab,night,noun,,,
9,نصف شب,nesf-e shab,midnight,noun,,,نصفه‌شب
9,هفته,hafte,week,noun,,,
9,ماه,mâh,month / moon,noun,,,
9,دیروز,diruz,yesterday,adv,,,
9,فردا,fardâ,tomorrow,adv,,,
9,امشب,emshab,tonight,adv,,,
10,شدن,shodan,to become,verb,شو,شد,می‌شم
10,پریروز,pariruz,day before yesterday,adv,,,
10,دیشب,dishab,last night,adv,,,
10,هفته‌ی پیش,hafte-ye pish,last week,adv,,,
10,ماه پیش,mâh-e pish,last month,adv,,,
10,پارسال,pârsâl,last year,adv,,,
10,قبلاً,qablan,previously,adv,,,
10,وقتی که,vaqti ke,when (conjunction),conj,,,
10,نفهمیدم,nafahmidam,I didn't understand,phrase,,,
10,یادم رفت,yâdam raft,I forgot,phrase,,,
